2026-04-25 11:50:01 [INFO] Usuario subió archivo: audio_test_infantil.wav
2026-04-25 11:50:01 [INFO] Validando archivo de audio: temp_audio.wav
2026-04-25 11:50:01 [INFO] Cargando modelo Whisper: small
2026-04-25 11:52:25 [INFO] Iniciando transcripción...
2026-04-25 11:52:40 [INFO] Transcripción completada correctamente.
2026-04-25 11:52:40 [ERROR] Error procesando audio: 'words'
2026-04-25 12:08:37 [INFO] Usuario subió archivo: audio_test_infantil.wav
2026-04-25 12:08:37 [INFO] Validando archivo de audio: temp_audio.wav
2026-04-25 12:08:37 [INFO] Cargando modelo Whisper: small
2026-04-25 12:08:44 [INFO] Iniciando transcripción...
2026-04-25 12:09:04 [INFO] Transcripción completada correctamente.
2026-04-25 12:09:04 [INFO] AFI generado: esta → /esta/
2026-04-25 12:09:04 [INFO] AFI generado: mañana, → /mañana,/
2026-04-25 12:09:04 [INFO] AFI generado: la → /la/
2026-04-25 12:09:04 [INFO] AFI generado: pequeña → /pekeña/
2026-04-25 12:09:04 [INFO] AFI generado: martina → /maɾtina/
2026-04-25 12:09:04 [INFO] AFI generado: salió → /salió/
2026-04-25 12:09:04 [INFO] AFI generado: muy → /muʝ/
2026-04-25 12:09:04 [INFO] AFI generado: temprano → /tempɾano/
2026-04-25 12:09:04 [INFO] AFI generado: a → /a/
2026-04-25 12:09:04 [INFO] AFI generado: buscar → /buscaɾ/
2026-04-25 12:09:04 [INFO] AFI generado: una → /una/
2026-04-25 12:09:04 [INFO] AFI generado: piedra → /piedɾa/
2026-04-25 12:09:04 [INFO] AFI generado: brillante → /bɾiʎante/
2026-04-25 12:09:04 [INFO] AFI generado: que → /ke/
2026-04-25 12:09:04 [INFO] AFI generado: había → /abía/
2026-04-25 12:09:04 [INFO] AFI generado: visto → /bisto/
2026-04-25 12:09:04 [INFO] AFI generado: cerca → /θeɾca/
2026-04-25 12:09:04 [INFO] AFI generado: del → /del/
2026-04-25 12:09:04 [INFO] AFI generado: río. → /ɾío./
2026-04-25 12:09:04 [INFO] AFI generado: mientras → /mientɾas/
2026-04-25 12:09:04 [INFO] AFI generado: caminaba → /caminaba/
2026-04-25 12:09:04 [INFO] AFI generado: por → /poɾ/
2026-04-25 12:09:04 [INFO] AFI generado: el → /el/
2026-04-25 12:09:04 [INFO] AFI generado: bosque → /boske/
2026-04-25 12:09:04 [INFO] AFI generado: oscuro, → /oscuɾo,/
2026-04-25 12:09:04 [INFO] AFI generado: encontró → /encontɾó/
2026-04-25 12:09:04 [INFO] AFI generado: un → /un/
2026-04-25 12:09:04 [INFO] AFI generado: dragón → /dɾagón/
2026-04-25 12:09:04 [INFO] AFI generado: dormido → /doɾmido/
2026-04-25 12:09:04 [INFO] AFI generado: entre → /entɾe/
2026-04-25 12:09:04 [INFO] AFI generado: unas → /unas/
2026-04-25 12:09:04 [INFO] AFI generado: flores → /floɾes/
2026-04-25 12:09:04 [INFO] AFI generado: amarillas. → /amaɾiʎas./
2026-04-25 12:09:04 [INFO] AFI generado: martina → /maɾtina/
